fips,PST045212,PST040210,PST120212,POP010210,LND110210,POP060210
0,313914040,308747508,1.7,308745538,3531905.43,87.4
1000,4822023,4779745,0.9,4779736,50645.33,94.4
1001,55514,54571,1.7,54571,594.44,91.8
1003,190790,182265,4.7,182265,1589.78,114.6
1005,27201,27457,-0.9,27457,884.88,31
1007,22597,22919,-1.4,22915,622.58,36.8
1009,57826,57322,0.9,57322,644.78,88.9
1011,10474,10915,-4,10914,622.81,17.5
1013,20307,20946,-3.1,20947,776.83,27
1015,117296,118572,-1.1,118572,605.87,195.7
1017,34064,34215,-0.4,34215,596.53,57.4
1019,26021,25986,0.1,25989,553.7,46.9
1021,43819,43642,0.4,43643,692.85,63
1023,13633,13858,-1.6,13859,913.5,15.2
1025,25161,25840,-2.6,25833,1238.47,20.9
1027,13435,13932,-3.6,13932,603.96,23.1
1029,14832,14972,-0.9,14972,560.1,26.7
1031,51252,49948,2.6,49948,678.97,73.6
1033,54446,54428,0,54428,592.62,91.8
1035,12981,13228,-1.9,13228,850.16,15.6
1037,10966,11544,-5,11539,650.93,17.7
1039,37955,37765,0.5,37765,1030.46,36.6
1041,14083,13906,1.3,13906,608.84,22.8
1043,80440,80406,0,80406,734.84,109.4
1045,50444,50251,0.4,50251,561.15,89.6
1047,42864,43820,-2.2,43820,978.7,44.8
1049,71080,71112,0,71109,777.09,91.5
1051,80629,79296,1.7,79303,618.49,128.2
1053,37994,38319,-0.8,38319,945.08,40.5
1055,104392,104430,0,104430,534.99,195.2
1057,16983,17241,-1.5,17241,627.66,27.5
1059,31761,31709,0.2,31704,633.82,50
1061,26931,26790,0.5,26790,574.41,46.6
1063,8876,9045,-1.9,9045,647.11,14
1065,15388,15760,-2.4,15760,643.94,24.5
1067,17287,17302,-0.1,17302,561.75,30.8
1069,103402,101547,1.8,101547,579.82,175.1
1071,53019,53226,-0.4,53227,1077.87,49.4
1073,660009,658466,0.2,658466,1111.28,592.5
1075,14259,14564,-2.1,14564,604.85,24.1
1077,92542,92709,-0.2,92709,667.7,138.8
1079,33838,34339,-1.5,34339,690.68,49.7
1081,147257,140251,5,140247,607.54,230.8
1083,87654,82782,5.9,82782,559.94,147.8
1085,10857,11299,-3.9,11299,715.91,15.8
1087,20535,21450,-4.3,21452,608.89,35.2
1089,343080,334811,2.5,334811,801.59,417.7
1091,20401,21029,-3,21027,976.88,21.5
1093,30327,30777,-1.5,30776,742.29,41.5
1095,94776,93019,1.9,93019,565.84,164.4
1097,413936,412992,0.2,412992,1229.44,335.9
1099,22602,23070,-2,23068,1025.68,22.5
1101,230149,229363,0.3,229363,784.25,292.5
1103,120395,119490,0.8,119490,579.34,206.3
1105,10181,10581,-3.8,10591,719.66,14.7
1107,19405,19746,-1.7,19746,881.41,22.4
1109,33182,32899,0.9,32899,672.09,48.9
1111,22675,22914,-1,22913,580.55,39.5
1113,57820,52949,9.2,52947,641.14,82.6
1115,85237,83598,2,83593,631.9,132.3
1117,200941,195080,3,195085,784.93,248.5
1119,13427,13763,-2.4,13763,903.89,15.2
1121,81762,82291,-0.6,82291,736.78,111.7
1123,41168,41618,-1.1,41616,716.52,58.1
1125,198596,194653,2,194656,1321.76,147.3
1127,66221,67023,-1.2,67023,791.19,84.7
1129,17109,17586,-2.7,17581,1080.21,16.3
1131,11431,11665,-2,11670,888.5,13.1
1133,24108,24483,-1.5,24484,612.98,39.9
2000,731449,710231,3,710231,570640.95,1.2
2013,3161,3141,0.6,3141,6981.94,0.4
2016,5547,5561,-0.3,5561,4390.28,1.3
2020,298610,291826,2.3,291826,1704.68,171.2
